2016-11-15, 22:11:14, 88000000, 90500000, 78125.00, 5120, -1.#J, -1.#J, -1.#J, -8.69, -1.#J, -1.#J, -1.#J, -10.84, -1.#J, -1.#J, -10.85, -1.#J, -11.26, -1.#J, -11.77, -22.13, -1.#J, -1.#J, -1.#J, -10.04, -16.46, -1.#J, -8.31, -1.#J, -1.#J, -14.46, -11.73, -11.45, -16.88, -1.#J, -7.94, -1.#J, -1.#J
2016-11-15, 22:11:14, 90500000, 93000000, 78125.00, 5120, -17.21, -10.59, -12.34, -7.99, -8.83, -1.#J, -1.#J, -1.#J, -10.41, -18.85, -1.#J, -1.#J, -1.#J, -8.65, -1.#J, -8.43, -10.40, -10.40, -9.75, -1.#J, -1.#J, -9.77, -11.73, -8.60, -11.83, -17.46, -8.49, -1.#J, -20.51, -1.#J, -1.#J, -1.#J, -1.#J
2016-11-15, 22:11:14, 93000000, 95500000, 78125.00, 5120, -8.20, -1.#J, -1.#J, -1.#J, -1.#J, -1.#J, -9.89, -1.#J, -8.58, -17.63, -1.#J, -9.61, -1.#J, -8.95, -1.#J, -9.05, -1.#J, -1.#J, -1.#J, -9.14, -9.06, -1.#J, -1.#J, -19.99, -16.17, -1.#J, -1.#J, -1.#J, -1.#J, -13.20, -1.#J, -1.#J, -1.#J
2016-11-15, 22:11:14, 95500000, 98000000, 78125.00, 5120, -1.#J, -16.43, -12.00, -8.57, -1.#J, -1.#J, -1.#J, -9.65, -1.#J, -10.25, -1.#J, -1.#J, -17.78, -1.#J, -1.#J, -23.74, -1.#J, -1.#J, -1.#J, -10.21, -1.#J, -1.#J, -1.#J, -1.#J, -1.#J, -21.01, -1.#J, -8.10, -8.45, -1.#J, -1.#J, -1.#J, -1.#J
2016-11-15, 22:11:14, 98000000, 100500000, 78125.00, 5120, -7.96, -1.#J, -1.#J, -8.20, -8.38, -8.00, -8.77, -1.#J, -21.99, -1.#J, -1.#J, -1.#J, -1.#J, -1.#J, -1.#J, -23.05, -1.#J, -1.#J, -9.67, -23.70, -1.#J, -1.#J, -12.43, -1.#J, -7.84, -9.09, -8.14, -1.#J, -10.81, -10.38, -14.53, -1.#J, -1.#J
2016-11-15, 22:11:14, 100500000, 103000000, 78125.00, 5120, -1.#J, -1.#J, -10.94, -11.01, -1.#J, -9.00, -8.84, -1.#J, -1.#J, -12.30, -1.#J, -12.93, -9.45, -1.#J, -1.#J, -8.21, -15.29, -15.29, -1.#J, -1.#J, -8.80, -1.#J, -8.39, -1.#J, -1.#J, -8.98, -1.#J, -9.37, -1.#J, -1.#J, -1.#J, -1.#J, -1.#J
2016-11-15, 22:11:14, 103000000, 105500000, 78125.00, 5120, -1.#J, -13.24, -20.81, -8.35, -13.94, -1.#J, -1.#J, -9.39, -1.#J, -8.86, -1.#J, -11.70, -14.78, -16.07, -10.95, -1.#J, -9.03, -9.03, -1.#J, -1.#J, -9.07, -14.81, -1.#J, -1.#J, -8.30, -1.#J, -1.#J, -1.#J, -1.#J, -1.#J, -8.33, -1.#J, -1.#J
2016-11-15, 22:11:14, 105500000, 108000000, 78125.00, 5120, -10.90, -1.#J, -1.#J, -12.33, -13.92, -8.36, -11.90, -1.#J, -17.79, -7.75, -1.#J, -13.67, -1.#J, -13.66, -9.77, -14.50, -11.55, -11.55, -1.#J, -9.23, -9.28, -22.09, -1.#J, -1.#J, -1.#J, -1.#J, -1.#J, -14.89, -8.86, -1.#J, -13.68, -11.32, -11.32
2016-11-15, 22:11:24, 88000000, 90500000, 78125.00, 5376, -1.#J, -1.#J, -9.63, -1.#J, -22.69, -1.#J, -1.#J, -8.89, -8.19, -1.#J, -9.70, -1.#J, -1.#J, -11.38, -11.95, -1.#J, -1.#J, -1.#J, -8.01, -1.#J, -1.#J, -1.#J, -1.#J, -1.#J, -1.#J, -9.55, -19.03, -1.#J, -8.97, -1.#J, -1.#J, -1.#J, -1.#J
2016-11-15, 22:11:24, 90500000, 93000000, 78125.00, 5376, -1.#J, -1.#J, -11.89, -1.#J, -1.#J, -1.#J, -1.#J, -1.#J, -1.#J, -17.18, -1.#J, -13.03, -1.#J, -1.#J, -1.#J, -1.#J, -12.55, -12.55, -1.#J, -16.26, -1.#J, -17.82, -10.56, -8.82, -8.52, -23.56, -8.10, -1.#J, -18.57, -1.#J, -8.39, -1.#J, -1.#J
2016-11-15, 22:11:24, 93000000, 95500000, 78125.00, 5376, -8.72, -1.#J, -16.05, -1.#J, -8.95, -1.#J, -9.28, -1.#J, -10.85, -16.89, -8.08, -9.25, -1.#J, -8.76, -11.41, -10.23, -1.#J, -1.#J, -1.#J, -10.65, -10.71, -1.#J, -27.88, -1.#J, -19.50, -17.23, -1.#J, -1.#J, -1.#J, -1.#J, -1.#J, -13.01, -13.01
