15/11/2016, 22:54:17,88000000,90500000,78125,942080,-31.6,-32.52, -1.#J,-32.18, -1.#J,-30.75, -1.#J,-31.77,-30.96,-36.32, -1.#J,-32.93,-34.85, -1.#J, -1.#J, -1.#J, -1.#J, -1.#J,-32.55, -1.#J, -1.#J,-31.99,-33.49, -1.#J,-32.28,-53.1,-30.43,-31.53, -1.#J, -1.#J,-40.68, -1.#J, -1.#J
15/11/2016, 22:54:17,90500000,93000000,78125,942080,-36.93,-45.94, -1.#J,-34.34, -1.#J,-32.66,-32.88,-31, -1.#J,-33.73, -1.#J,-35.75, -1.#J, -1.#J, -1.#J, -1.#J, -1.#J, -1.#J,-33.74,-32.88,-39.16,-31.36, -1.#J, -1.#J, -1.#J, -1.#J,-33.74, -1.#J, -1.#J,-32.08,-31.72, -1.#J, -1.#J
15/11/2016, 22:54:17,93000000,95500000,78125,942080, -1.#J, -1.#J, -1.#J,-33.34,-61.69,-30.68, -1.#J,-31.04, -1.#J, -1.#J,-33.66, -1.#J, -1.#J, -1.#J, -1.#J,-35.83,-36.58,-36.58, -1.#J, -1.#J,-32.57, -1.#J, -1.#J,-31.44,-35.93,-30.52,-33.55,-40.84, -1.#J, -1.#J,-43.92, -1.#J, -1.#J
15/11/2016, 22:54:17,95500000,98000000,78125,942080, -1.#J,-39.29,-37.25, -1.#J,-38.81,-34.69, -1.#J,-34.97, -1.#J,-31.72, -1.#J, -1.#J,-30.8, -1.#J, -1.#J,-30.79,-31.9,-31.9, -1.#J, -1.#J,-33.55, -1.#J,-39.17,-31.59,-40.41, -1.#J,-30.59, -1.#J,-39.34, -1.#J,-33.05, -1.#J, -1.#J
15/11/2016, 22:54:17,98000000,100500000,78125,942080, -1.#J,-37.41,-37.85,-30.73, -1.#J, -1.#J, -1.#J, -1.#J,-34.08,-31.81, -1.#J, -1.#J,-46.31, -1.#J, -1.#J, -1.#J, -1.#J, -1.#J,-45.82,-30.91,-40, -1.#J, -1.#J, -1.#J,-43.8,-33.67,-37.35, -1.#J,-32.26,-40.5, -1.#J,-31.23,-31.23
15/11/2016, 22:54:17,100500000,103000000,78125,942080,-31.11,-30.68, -1.#J, -1.#J, -1.#J, -1.#J,-31.26, -1.#J,-41.69, -1.#J,-30.99, -1.#J, -1.#J,-33.2, -1.#J, -1.#J,-38.72,-38.72,-30.99, -1.#J, -1.#J, -1.#J, -1.#J, -1.#J,-32.18,-31.11, -1.#J,-30.9,-32.36, -1.#J, -1.#J, -1.#J, -1.#J
15/11/2016, 22:54:17,103000000,105500000,78125,942080,-37.25,-30.56,-34.99, -1.#J,-33.14,-35.69, -1.#J, -1.#J, -1.#J,-40.24, -1.#J, -1.#J,-33.82, -1.#J,-35.01, -1.#J,-31.01,-31.01, -1.#J, -1.#J, -1.#J, -1.#J, -1.#J, -1.#J, -1.#J,-39.32,-38.96, -1.#J,-34.08, -1.#J, -1.#J, -1.#J, -1.#J
15/11/2016, 22:54:17,105500000,108000000,78125,942080, -1.#J,-30.88,-31.33, -1.#J, -1.#J, -1.#J, -1.#J,-39.14,-33.6,-31.27, -1.#J,-31.69,-31.74,-38.87,-40.23, -1.#J, -1.#J, -1.#J, -1.#J,-36.86,-37.23, -1.#J, -1.#J, -1.#J, -1.#J, -1.#J,-30.71,-34.65, -1.#J,-30.49,-34.41,-30.96,-30.96
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/11/2016, 23:24:17,88000000,90500000,78125,941312, -1.#J, -1.#J,-35.03,-31.3,-30.58, -1.#J,-31.64,-32.74, -1.#J, -1.#J,-34.85, -1.#J, -1.#J, -1.#J, -1.#J,-32.57,-31.81,-31.81, -1.#J,-33.29,-30.81,-35.43, -1.#J, -1.#J, -1.#J, -1.#J,-32,-40.04, -1.#J, -1.#J,-32.68,-40.37,-40.37
15/11/2016, 23:24:17,90500000,93000000,78125,941312, -1.#J,-31.05,-35.35, -1.#J,-42.61,-39.24,-38.88, -1.#J, -1.#J,-32.75, -1.#J,-32.66,-32.66,-32.99,-38.74, -1.#J, -1.#J, -1.#J, -1.#J,-34.71,-35.72, -1.#J,-32.01,-32.81, -1.#J,-30.9, -1.#J,-30.44, -1.#J,-32.76, -1.#J,-31.93,-31.93
